 ??????=86.62,?????=28.08,?????=-11.27 
,,
,,
 ??????=86.62,?????=28.08,?????=-11.27 
,,
,,
 ??????=86.62,?????=28.09,?????=-11.26 
,,
,,
 ??????=86.62,?????=28.08,?????=-11.26 
,,
,,
 ??????=86.62,?????=28.06,?????=-11.29 
,,
,,
 ??????=86.62,?????=28.05,?????=-11.30 
,,
,,
 ??????=86.62,?????=28.03,?????=-11.31 
,,
,,
 ??????=86.62,?????=28.02,?????=-11.32 
,,
,,
 ??????=86.62,?????=28.01,?????=-11.33 
,,
,,
 ??????=86.62,?????=28.01,?????=-11.33 
,,
,,
 ??????=86.62,?????=28.01,?????=-11.33 
,,
,,
 ??????=86.61,?????=27.76,?????=-11.59 
,,
,,
 ??????=86.61,?????=27.76,?????=-11.59 
,,
,,
 ??????=86.61,?????=27.75,?????=-11.60 
,,
,,
 ??????=86.61,?????=27.75,?????=-11.60 
,,
,,
 ??????=86.61,?????=27.73,?????=-11.62 
,,
,,
 ??????=86.61,?????=27.71,?????=-11.64 
,,
,,
 ??????=86.61,?????=27.70,?????=-11.65 
,,
,,
 ??????=86.61,?????=27.70,?????=-11.65 
,,
,,
 ??????=86.61,?????=27.71,?????=-11.64 
,,
,,
 ??????=86.61,?????=27.70,?????=-11.65 
,,
,,
 ??????=86.61,?????=27.70,?????=-11.65 
,,
,,
 ??????=86.61,?????=27.48,?????=-11.88 
,,
,,
 ??????=86.61,?????=27.47,?????=-11.88 
,,
,,
 ??????=86.61,?????=27.46,?????=-11.89 
,,
,,
 ??????=86.61,?????=27.45,?????=-11.90 
,,
,,
 ??????=86.61,?????=27.45,?????=-11.90 
,,
,,
 ??????=86.61,?????=27.45,?????=-11.90 
,,
,,
 ??????=86.61,?????=27.45,?????=-11.90 
,,
,,
 ??????=86.61,?????=27.43,?????=-11.93 
,,
,,
 ??????=86.61,?????=27.41,?????=-11.94 
,,
,,
 ??????=86.61,?????=27.41,?????=-11.94 
,,
,,
 ??????=86.61,?????=27.41,?????=-11.94 
,,
,,
 ??????=86.61,?????=27.12,?????=-12.23 
,,
,,
 ??????=86.60,?????=27.11,?????=-12.24 
,,
,,
